EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,84000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,68000.0
sales,Employed for wages,male,English,from home,bachelor's degree,35000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,73000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
health care,Self-employed business owner,male,English,in an office with other developers,bachelor's degree,15000.0
finance,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,93500.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),38000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,62000.0
education,Employed for wages,male,English,from home,bachelor's degree,45000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",23000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Employed for wages,male,Chinese,in an office with other developers,high school diploma or equivalent (GED),16000.0
office and administrative support,Employed for wages,female,English,no preference,"some college credit, no degree",10000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),60000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),12000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",30000.0
architecture or physical engineering,Employed for wages,male,English,from home,bachelor's degree,42000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
architecture or physical engineering,Employed for wages,female,English,in an office with other developers,bachelor's degree,55000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,40000.0
finance,Self-employed business owner,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",80000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",30000.0
sales,Employed for wages,female,English,from home,bachelor's degree,30000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,52000.0
sales,Employed for wages,male,Spanish,no preference,"some college credit, no degree",27000.0
office and administrative support,Employed for wages,female,English,from home,"some college credit, no degree",40000.0
